Water Source Type,Contaminant Level (ppm),Turbidity (NTU),Nitrate Level (mg/L),Lead Concentration (µg/L),Bacteria Count (CFU/mL),Water Treatment Method,Access to Clean Water (% of Population),Sanitation Coverage (% of Population),Rainfall (mm per year),Temperature (°C),Population Density (people per km²),Risk Level
River,20.519352144154485,1.7512007664462,2.417347870667599,2.8262740675173803,67.38661799938878,Filtered,96.81877521438865,87.84187195055215,338.346250980894,37.44258516996223,444.12928750552754,Low
Open Well,29.396271551225276,1.024749362833792,2.098989416640826,2.4246487365730984,33.47303046021712,Chlorinated,75.33435376171384,75.30591055378771,437.9931513481895,31.13202717686942,524.7938502532481,Low
Open Well,18.778531016087804,2.8474335360164442,5.118029433512172,3.2564103052765345,16.724653994148397,Filtered,96.67143830427699,70.46857963374913,562.1687367324836,28.44570777689782,627.4848702656124,Low
Open Well,22.298654113378284,0.5883659957311783,4.879803135858906,4.731493904391732,21.450360972166393,Filtered,91.01300966083353,91.33068230678239,246.08871503303823,24.4564709407868,684.3139590523706,Low
Treated Supply,8.641867450159634,2.772618619148056,3.714704423035709,3.728311206166524,32.33446459015952,Chlorinated,73.5619459948869,87.09246872277546,345.48877072048,22.562754220475142,598.8289930522399,Low
Treated Supply,5.55014016518779,1.1823033069463722,2.518049861051447,0.5903364420726487,29.92436594712311,Chlorinated,72.52447329312896,88.07169060271764,210.99437403428993,30.056277049835867,450.3207553652221,Low
Treated Supply,24.317530992392747,2.279924260734514,2.4846761981050887,2.2942524914985976,64.08859892845535,None,75.79573333407336,84.26213602687046,447.4443292510641,37.95399884805239,208.82707897998066,Low
River,11.198277670678554,2.2056076242536613,1.0406850761944628,3.6283436881249953,49.46280941488901,None,92.47282253514281,84.4834505171378,243.23920484675824,21.34827112236508,219.9925639557049,Low
Treated Supply,10.557520881325503,1.359071532340675,3.608012221622843,0.1724989949746586,30.89641304438767,Chlorinated,84.78937966568839,72.87550982047149,301.8092893023319,21.911126523615213,139.06698474367892,Low
Treated Supply,11.047053897974605,2.5055200618332454,3.6832389747919123,1.4653192499553735,31.327562631953512,Filtered,88.48718697167168,99.65565194856393,357.1514713746777,18.109563196095927,156.38366096636489,Low
Open Well,19.97107966156127,1.8632937503490103,6.088232602961469,0.9921248272447108,79.3961481385198,Filtered,95.74591165201679,70.43764901474763,489.04457391853526,22.200906728068464,298.82064171107277,Low
River,24.49012686659887,0.5254648471692422,1.2003756537021228,0.9258901297844424,77.03418854759809,Chlorinated,89.13089920123556,85.3939452394576,332.1951653990937,26.875553836188352,370.61815743903503,Low
River,13.765822999744133,2.939433228210744,2.5521050705301445,1.5219130680284625,49.88952769751087,Chlorinated,82.81330415342885,88.84530480408671,463.1917363845529,29.709618047906535,683.3745529237541,Low
Treated Supply,19.75100089600347,2.287424280426208,4.676290350462436,4.3866834898368,41.79952309299297,None,73.78497507867324,86.56032063190861,320.01183624031137,30.00789002805292,644.0129735039477,Low
Treated Supply,8.14284037604862,2.3312976262063296,4.259499008527911,1.5413949480209226,12.028714308563,Chlorinated,90.20158264571592,86.87120489187176,445.6781160694529,24.968019566645495,338.4334500425448,Low
Open Well,20.71519391677388,1.1144128791942414,6.393048923242807,4.963963757735889,72.06194121435979,Filtered,77.55623044804511,94.49370271584172,323.3028668389426,31.72520845811341,746.2392529177516,Low
River,28.774517610412865,1.2906794606449243,5.2539441568469325,2.318157209424321,21.66786820293902,None,96.72607387853452,74.14080266335584,479.82258588001037,23.52126351421459,372.9045015654643,Low
River,8.730751140357311,1.4724584563985745,2.600639168182549,2.7402217205516815,28.21351924729465,Chlorinated,79.18031804950022,97.38497891018679,375.13981085699925,33.42788710778231,411.79619470771405,Low
Open Well,16.886596244985967,2.0989131974072093,6.827465084044707,3.9220936696427606,15.278574142152076,Chlorinated,75.62932719399144,97.25238745245272,323.7525020154452,33.389210273061444,286.46230916357325,Low
River,5.975424938895611,1.5901363797383288,6.221749600142893,0.9952696651844939,37.733366321181656,Chlorinated,85.65099044265716,82.8517876665045,516.5691687999056,22.15802437172885,514.7440866176544,Low
Treated Supply,16.498580287346336,2.929902289844199,4.13963065445319,3.051565929392648,51.94656178434006,Filtered,72.7030448676309,88.76854462867506,590.2156634980474,21.3864456323981,310.29558050478704,Low
River,11.247293306639806,2.4178983348572927,4.909875669837814,1.1333067793303857,24.475165756502683,Chlorinated,80.58133223897114,88.24315592212007,217.78795625384095,30.390726579129087,397.3630058708174,Low
River,9.295175218468373,1.2894994702403477,2.2520570374636133,3.9502919993522756,74.16140240711259,Chlorinated,73.56415204789513,73.77731980514619,396.3094982196247,21.40064454991016,647.4519322790029,Low
Open Well,19.960999741085676,2.270703245201882,1.7013022601454721,4.334256832950927,63.73862735799297,Filtered,97.4347610559782,77.97826660297093,544.6502115254824,20.489071993146617,739.2350970740234,Low
Open Well,5.617891932072831,2.0472544639775054,2.7329279499216392,2.6343229881200965,15.613008989833792,Filtered,95.39459258364703,76.18422842746182,533.7644838364304,36.63233452225277,705.3484648257023,Low
Treated Supply,14.75999115393044,1.9385755293189584,6.869925365907994,0.3184233816294968,73.8657337315042,None,74.79237168845765,71.18321169878162,440.92466478045037,25.64355302113131,462.9411186788433,Low
River,26.57299876108373,1.7901052260353043,1.7684878380679305,0.39199231452409944,12.289944400438127,Filtered,89.7887018674366,82.62358081415074,216.9398387710502,20.656531465452016,229.38746437119266,Low
Treated Supply,15.357573158013208,1.1266529675919181,2.162862396951012,3.868936649554859,35.44179600325652,None,91.7047928049612,97.8127324504945,541.1682177300162,20.531352659636422,585.329695745301,Low
Open Well,22.63458702489951,1.9128584611642259,6.983449376747667,0.02526399955664338,76.69051875765116,None,83.67884792986207,78.40591516414969,404.52369788072485,27.362563887963788,633.881275002999,Low
Treated Supply,10.85581205836839,2.3591468610123165,6.0672019714736525,2.9959151520768526,51.84469306277363,None,72.06273869531123,97.15695395756585,432.05271068663524,20.156996633844518,148.9232309692355,Low
Treated Supply,20.850069680188316,1.35455842337935,6.284515274960979,0.18444127823985468,61.96559433904373,Chlorinated,73.10410276757071,84.95663523763031,563.4847505517889,32.8304325082979,609.6205302269066,Low
River,27.720462207424053,1.145074264623117,3.393902284855268,3.719744786284431,56.36821080047241,None,87.61484084140722,84.37448325013479,379.505385605888,27.599897937962847,278.2449165106208,Low
Treated Supply,11.748815890418825,1.921797542291343,4.700256043990989,4.1987397824276105,36.49726058032715,None,73.16630707584537,71.59886566436523,217.61404095826094,29.909344762745683,760.0540226983218,Low
River,23.22014907450404,1.0869032765963256,1.2734680481920324,0.4962689526993802,57.54996469899554,Chlorinated,81.27089022638413,75.77913606066903,318.0282718377998,33.7045241734768,677.2061910608314,Low
Open Well,23.982276110710128,1.3608227001745723,4.6749683731338525,0.45748399447011645,57.60022380136736,Chlorinated,95.16848299019911,84.71426766269818,386.88890313408564,35.88893385378417,676.2984318053637,Low
Open Well,19.250207532365234,2.6799127878029276,4.387905695489915,2.183261442668693,62.01359107683951,None,84.54055306803345,71.96077536468121,306.6962105621342,29.187171300295024,418.0083812104571,Low
Open Well,18.486849823306095,2.4373318676459377,2.4550455076853903,0.9003787215597114,13.120058508139325,None,77.45797931483335,81.76234287014287,330.5545395318484,26.510660927417316,444.21763152073964,Low
Treated Supply,15.049345131750787,2.824930917083226,6.017271902421734,0.571504781495305,17.72409604440776,None,73.74082898067948,79.10719610310643,522.2339216583192,25.013314802368242,532.6631723617105,Low
River,12.221193439017263,1.1746703642305698,6.920560335143122,0.7404404309738688,59.836451879377975,Chlorinated,86.22047324954877,85.38943475840087,437.87890894324585,28.560263233365127,634.0031653037026,Low
Treated Supply,11.34885611689123,2.8502632564636294,5.903612441217842,1.0392406174927138,79.50386963983678,Chlorinated,75.96841115007902,93.22798863522873,239.9484402917712,32.36099291038849,495.7540793595569,Low
Treated Supply,28.274675021728296,2.106216742195297,2.925292074512412,4.954364542085372,48.70829690505285,None,85.0534801044324,79.78309040777,351.3154030157158,22.33574871965979,769.476084374675,Low
Open Well,15.51000626668976,2.523732229780851,2.1269897960325848,1.0698651946097586,12.474934151281229,None,92.98490462726299,83.17735762993149,453.78074495114004,32.4764666859776,116.76796132017711,Low
River,17.965408533852763,1.2457715716951716,6.079348634174931,4.925714650035709,48.909261842740996,Chlorinated,89.39743039674349,70.78553936446514,261.33507140765937,25.577283145522642,615.9195734833048,Low
Treated Supply,5.485357011590704,1.1333859774344917,5.968851763028245,2.1871456652084884,47.928123315921255,None,79.61744096045985,75.0827584233947,374.48745674049593,28.89727231211036,350.28990950685716,Low
Open Well,18.475234159395598,2.8705590020800003,2.7535319955443622,0.9416284563270239,24.79228242260718,Chlorinated,70.52640919146386,96.82220455630431,359.06035350437736,25.320428938542246,476.6679076617837,Low
River,7.302381795833631,2.4147018569085352,4.349223617044961,0.0215393296256966,36.06047737839714,None,74.76160711145464,81.52279831206748,318.268393245275,22.60477478472902,787.8603015270751,Low
Treated Supply,26.537896561739245,1.8135252366963055,6.224652897296168,3.396200273562067,60.75891761143649,Filtered,88.66254533493054,76.65449406924805,303.35278021787474,23.64206675869767,456.21754567270517,Low
River,8.032366120532382,2.6960551392004337,3.3217194524562172,1.3447141763230959,77.10562298965182,Filtered,79.85901542514986,72.38169349080215,512.0899168942451,22.834273365424526,714.5728826712285,Low
Treated Supply,19.031960510332304,1.4712704555333316,2.1256793159745833,0.08954686199762196,58.933342817034664,Filtered,95.18089111551208,73.44515441972212,340.50069760525264,26.289873741949165,795.5062697558923,Low
Treated Supply,5.470817548093693,1.273821442463303,5.100713707565628,4.00058409483255,26.61064833947026,None,91.82636522411242,97.22219419658774,350.9196789132899,33.55422393019114,276.62718793137145,Low
Treated Supply,28.701936140030895,1.8778648050993825,6.141859444462719,1.4546083574196844,63.93476207517626,Chlorinated,90.20861399988654,78.17772841936561,373.9657567517928,23.41914447807689,289.6517917764064,Low
Open Well,5.38879551653514,1.3643804762044627,6.226019026475594,1.0742072153998645,32.86162194078972,Filtered,78.72403462969744,84.49714823484264,292.1675405172497,21.519517485472058,285.6919036048225,Low
Treated Supply,17.045430961714242,1.979341591427308,5.132545411671262,0.009757032335282467,71.87482338713625,Filtered,71.88654980668673,98.46905051387382,445.16885651060204,30.871590522378263,458.20204239379035,Low
Treated Supply,22.713627010354248,1.7139202875253137,4.7659777069851845,1.1803638376710661,78.73298586218459,Chlorinated,80.63162114567353,92.96149759436292,488.3371310737754,24.34478655476577,215.61601357127364,Low
Treated Supply,19.019512226864386,0.7284582329762863,4.854793914583901,1.8351373884644029,30.63823128449118,Filtered,97.01698536325908,87.29721444515346,506.2222356981084,37.80117921526629,710.8710308388805,Low
Treated Supply,11.57411727447342,1.3929447739144025,3.6527910512403916,4.075061623883265,64.4286684536707,Filtered,83.39430582800817,95.02105067912022,543.5388824862775,19.232632956364206,660.9073565272124,Low
Treated Supply,28.299873578921257,2.345347946637841,6.27015547206933,2.9559125174705563,14.353547265692074,Chlorinated,76.81087025383077,80.72967627375738,334.76757811191544,20.279631464542945,186.30321963715784,Low
Open Well,11.789505265202013,1.4368763399214264,4.538852399818994,1.7395615182941193,78.34288559566957,Filtered,84.3841339370687,73.86056491684428,555.2091211714403,21.417096622170156,182.848827014368,Low
Treated Supply,29.25966933688246,1.5550669505982482,1.330440521872603,0.5638785315385886,34.13533920626499,Chlorinated,73.57686511328833,70.57428614243884,252.9415743360221,22.923307580719175,257.96077243449906,Low
Treated Supply,29.129964885535514,1.496728701395646,1.1628456202237047,2.219899884497397,53.613559203637635,Filtered,82.86699924559319,93.12740207130201,491.0591219103138,28.031291065980316,434.169477803745,Low
River,5.89197810912392,2.613535276743413,2.602316300944674,3.331311494987909,45.71065973727089,Chlorinated,96.50205543459225,89.43480408082816,351.91294672752474,32.26353691026273,774.4448971990306,Low
River,15.12283889496633,1.9807737190872152,1.0338826242502852,1.807715050547349,67.01956342391489,Chlorinated,78.75768676354649,98.21228338232619,450.56774466375737,24.206652928095732,425.4518383321996,Low
Treated Supply,17.00956834363926,1.2053389184272243,3.5407034944519022,4.325042557877403,65.54094011389199,None,74.81124572513903,70.38437009008068,399.54703251239516,26.09842232348993,569.210910501364,Low
River,15.34986789422765,1.2152819661217602,1.7860883565157613,3.3744939930212867,75.76153806739771,Chlorinated,74.57322352786854,75.65471144536859,314.3290721964443,28.900084725659028,649.6620994110062,Low
Treated Supply,19.68111410920289,1.7840796704207205,1.0892209535577657,2.0260480697839767,17.03154738963311,Filtered,90.09483586881676,83.19894230781163,299.1824186532529,21.557485704333732,354.01853346581504,Low
River,22.730722618471063,1.4692573364778403,3.0032300861879833,3.011251607459584,19.755079756727742,None,73.70772272874238,94.66357671151071,229.76068285163296,21.369361831165367,763.0824797153157,Low
Treated Supply,16.526820596719993,0.8333833531369659,1.3123317733706108,1.8605027766823012,56.42204688526459,Chlorinated,87.71749917731799,89.0826530332169,224.54646955462317,33.88466293970485,463.15818244448036,Low
Treated Supply,6.668794366479154,1.932894849625809,2.250079846035778,3.8432966131121313,65.00997591622215,Chlorinated,96.26479562011812,78.95418750726394,575.2406771038139,22.88770986704659,605.566769372425,Low
Open Well,5.909080246227487,2.723971033130691,2.990822784553199,3.3173517006377775,31.959799433106056,None,84.55993269566534,86.32712574138783,447.9410452145411,28.161953917124414,566.2158173876423,Low
River,19.284828015869625,1.7543124694801424,3.2964911198799736,0.8746363632976156,18.857166046152074,None,90.29409452718701,79.50817192631696,539.3253212213228,28.728519163953504,737.9736283946085,Low
Treated Supply,19.164252272935485,2.1381250055138366,4.353775035629911,1.210048176380677,32.13553450638021,None,72.19467534521793,72.82678866499613,547.7211792568957,24.88308419094575,394.5210973342566,Low
River,21.368813258171734,1.5021887299315744,2.0733212372562746,0.5014026994241438,62.733122498687784,Filtered,99.5563716147982,99.14114267013287,321.6797332201328,21.78529036528845,101.19009818801324,Low
Treated Supply,15.890026780280879,2.8217112829452167,2.471156415014626,2.585330858840677,13.148624160405959,Filtered,76.30619352855292,96.03257967729303,584.0827046786957,20.018386570047902,458.3950408857361,Low
Open Well,12.29944931124831,1.739043716053263,2.9894862134740405,4.158811062848329,36.15693085185282,Filtered,80.2849184210353,95.42542157943026,346.14171237477524,34.938391973670264,140.47550773183494,Low
Treated Supply,7.273141985952409,1.9986249743077744,3.597547053181052,3.7234261151846915,32.49676489285076,None,75.09186714267071,92.53789836773052,534.4887270897391,35.07665884319495,663.8513807925303,Low
Treated Supply,17.306910663798632,1.0860468437085433,5.324770530551779,1.1872292348174636,35.55439625580382,Chlorinated,87.96785127942502,81.8175884258821,578.619784861685,27.09585879245264,630.421894549741,Low
River,12.556374868797775,1.5987350959743174,6.773101848654521,1.4248994919421247,70.071979008017,Filtered,96.8317522125246,70.10931295262897,492.1666490389632,19.693310325045534,726.6221873014972,Low
Treated Supply,17.3347762298568,0.9159309510156675,3.327462601179752,4.759525828517399,65.80827911961228,Filtered,76.25196310925205,76.63433597422251,224.20097364960702,31.315963481404324,343.3502755614701,Low
Open Well,27.46173240425865,0.9507645787921827,6.262607770917898,1.4653659143723035,21.61909745420725,Filtered,71.98236855086877,97.07670894884637,426.1137168073715,36.34432818533047,262.7960126078783,Low
River,14.517406100036501,1.712379971668972,3.2888494423400694,4.8324531275222355,57.47995171914932,Chlorinated,98.72054135670025,90.48784278547456,458.5399099273878,28.40112628690231,277.8766986288284,Low
River,27.20274463339023,1.1007046139744299,5.291446817494553,2.7080852667895434,71.88120352706346,Filtered,77.24808816703353,86.10445338483174,233.23779381084648,32.63903410961333,250.11330860146504,Low
Open Well,8.991160124344368,0.8103161611345149,1.8883729742154205,1.3484846184758315,32.49003933893172,Chlorinated,86.00017338347723,72.1027073886441,317.184016771996,24.289775321392224,726.8208177151581,Low
Open Well,29.277570697383304,1.5362286060644066,4.414729413136609,3.9984520724854793,62.967392173675215,Chlorinated,75.3695193291328,96.37889259082856,400.4745955199878,21.960067109580947,447.5919327557633,Low
Treated Supply,21.079194995043004,0.9059344473186519,6.6545077340127525,1.7277108467225033,25.68735853787697,Filtered,71.84791525917561,72.37997055169006,581.730126093324,26.996568593570665,643.471037305104,Low
River,13.560323054838348,2.3821278249930566,6.499543656317076,3.641456959284877,15.818714854398786,Chlorinated,71.12059674011816,77.15908745915657,535.9620598877632,35.5780574407102,608.6322637631463,Low
River,18.825684596243036,2.332458457433391,6.360437965920573,1.1698815074784341,72.23953207938854,None,83.0259123607664,84.09646569203483,311.6934824470686,18.243562660828424,601.7179990802231,Low
Treated Supply,7.254344422098603,0.905161810080785,6.86429494645477,3.5686836123963395,35.16546596466611,Filtered,84.76330595083705,72.68957781505483,322.6546154525725,29.11166876103116,290.21766705164794,Low
Treated Supply,11.853984179023097,1.073188883169545,5.909201397150677,0.4664771208412194,20.16379978699757,Filtered,86.39743974582966,96.27794213898662,346.7729527214881,23.535446292583636,790.5347503092149,Low
Open Well,7.76370185372404,2.3072378678433902,5.241982799033238,4.810277343527647,22.66829509060687,None,85.4431688415327,70.00025865314117,509.19603110791047,23.507694517773896,185.16186065989928,Low
Treated Supply,20.116965238556634,1.6403083373587521,4.250774005040358,3.976606787179618,37.77723423387376,Chlorinated,79.45562367382136,91.00914404334273,483.0365022935777,28.497693042441856,336.0975899583566,Low
Open Well,21.635537463457332,1.0734313840347989,6.77038802656539,3.9845053568202755,10.166029797543153,Chlorinated,71.75641910125346,90.45111149538212,259.5377814404391,30.135694119066713,582.3438842807252,Low
Treated Supply,18.12469769303172,1.297373596867739,6.158861786676573,2.1624802202729243,55.226258942891235,Chlorinated,92.45866904789317,97.89116504092978,535.901499517058,32.145891837534855,280.76569053192503,Low
Treated Supply,7.846637046533543,0.7294185582839616,6.70536215754745,4.373053744136877,74.1878277393226,Chlorinated,97.53854487633268,92.20012181685195,301.57584542786685,18.91588269782298,738.5185615421535,Low
Treated Supply,10.560173176028972,0.8416856864368234,1.1125619258950934,3.3487128803156474,55.286747649198304,Filtered,72.2868023948392,75.41471698934967,456.1303999897556,36.57144153424832,620.3589525290764,Low
River,16.252685978616768,1.508194145520806,3.4926467795641,2.155807230018266,53.88632190949466,Chlorinated,79.90385945527677,73.84245957642959,506.85512838255204,34.25600880983822,194.84823167354202,Low
Treated Supply,20.487235322444896,0.9181543366657683,3.162986237727101,2.1095796680844874,25.91177579373244,Chlorinated,74.38633665936297,76.19842720601476,374.926080189063,26.84470918536902,578.1621540426114,Low
Treated Supply,11.543693060620267,1.063531953271036,1.390609133787316,1.7825238042109093,17.19072672937217,Filtered,99.61601884566402,91.13446922935991,207.0247082814058,24.5295795152067,147.5512442478614,Low
Open Well,15.107870052163035,2.052075126382203,5.434276475574845,2.394669962103756,33.84210793444538,Chlorinated,92.46166335760233,86.9309012775515,386.92869791675486,20.380717600745076,394.93777331016395,Low
Open Well,9.557521068378207,1.106650840666144,6.054689652562564,1.499466614774228,63.019375312282655,Filtered,85.5606677280018,75.99094875480212,281.3294948610006,23.075481054923216,640.8289838396494,Low
Open Well,8.86134467755296,2.013813833938503,6.755533159925176,1.5287171472310872,57.300006093266,Chlorinated,94.91831866528443,77.17211527707727,595.3451944458171,32.12563582921128,501.19507644674366,Low
Treated Supply,28.326927295674828,2.8001983240508235,3.9517686926820996,1.2551356600422126,59.322425479657504,Filtered,89.97579360104108,87.46649614450902,358.79387515907973,28.662285131390576,349.49437216268217,Low
River,7.224830932883709,1.2012713894990954,5.002985981903835,1.2290525200933466,62.81450167828702,Filtered,95.08299585249351,83.59816652118587,571.9475255404159,24.98120449036002,553.8423743563528,Low
River,17.546295104442095,1.8014319176183622,5.847355229177396,4.359726147119474,18.428972916988975,Chlorinated,75.92824699447247,85.74795193034642,501.4466120194026,34.09511261050331,151.492115143097,Low
River,19.490526701851476,2.4490504109689457,2.7576744039519046,2.1428387769884094,51.50228308778754,Filtered,98.11845740025583,94.17245307401923,385.4081838670468,18.312555012988355,398.0602178843801,Low
Treated Supply,16.304626318219736,1.633665290004044,4.08367366004593,0.6069350744128466,21.75457541698494,Chlorinated,98.50528437737046,77.29591958075692,514.6272391818948,35.60370593525171,798.6181179790634,Low
Treated Supply,17.649204284823696,2.4993308726313326,2.439884327736321,0.8428798411190547,57.03215320959772,Filtered,98.49459799825974,86.89411882458828,593.1036444582635,30.14493394823431,638.607828605022,Low
Open Well,16.327085994466813,1.155047982664718,1.039741680091164,3.626270885917993,11.327390869871028,Filtered,86.51672265899748,84.55572588152951,428.51864876938214,20.36978383300638,375.9831648295842,Low
River,5.439205886158122,1.1573842588551653,3.338728979565335,2.6324611907180007,40.184641849819485,Filtered,70.76036897672589,90.59089501259405,305.44303023380917,32.82385526391589,796.4695848673647,Low
River,21.45075720880403,1.1708104573197262,3.9638369892049656,1.3321417880103825,75.3149638501797,Chlorinated,81.42102605216544,95.23066297629069,497.55187601179614,26.880182954642294,586.6668581651898,Low
Open Well,17.133513789536924,2.6230490107356785,5.605705271909283,0.9572597709720454,72.7953008527325,Chlorinated,91.31129356569475,81.94546952504206,314.68951155088604,24.67277510463235,273.69867769951634,Low
Open Well,15.222319624166062,1.926830548528285,5.369820293175918,3.441373011643687,32.58541191528889,None,87.61887674263973,88.01574821047805,389.2031029713354,18.806509630395432,207.0101799918845,Low
River,6.1671701236287415,1.9385157854712316,3.2418677499218145,0.08566247933304683,43.35096208398313,Chlorinated,81.7049621942762,77.62715453445647,344.87998947237406,22.66378834260434,579.5508378792481,Low
Treated Supply,9.932004583512533,1.7403215861120898,5.0585908130817065,2.398411498344417,28.86333794022332,Filtered,77.83140296096742,99.56015775385048,495.93472484430373,29.010473377674337,431.5134247890164,Low
Treated Supply,10.458585080900027,2.58646662320327,5.5669031945812755,4.738757904522898,25.915415446359937,Chlorinated,88.37321212831526,75.31915642646413,541.5214323481401,30.77815905882332,644.4951817363483,Low
River,27.39711586010376,1.1526416509881248,1.9557871649047647,0.333444752779089,35.486202568246284,Chlorinated,88.55032101113389,82.60816472226017,445.95322150093557,19.089202928154712,367.53908484724076,Low
River,10.528349906998013,2.724746143357879,1.368213469444661,3.1165984279654535,61.01800601777384,Filtered,80.54916108744072,87.75257651532966,438.5028761709888,19.593459504787116,602.386067535512,Low
Treated Supply,15.26541605491604,1.421856476715611,6.5039905821348665,1.7303696269133284,74.3984912364845,Chlorinated,71.52899052476738,70.9994064017513,263.8148698153735,18.06802968368096,574.3644155375332,Low
Open Well,14.17494280612709,0.6247148043629709,3.628217074859261,4.882810759075059,14.210049375830009,None,83.83783306234807,99.42693483946555,305.39352015641697,19.13490509817346,240.83272254538,Low
River,9.889850443874927,0.5779961286083408,4.498099266231654,1.8490078630413116,36.01051920599971,Filtered,93.54666474209827,79.59578486967021,328.3564098813421,29.236875785369232,448.6468220342168,Low
Treated Supply,14.192024023102272,2.457461475928533,2.124483052185449,0.2829476562409694,55.69244460832421,Filtered,77.4380983143622,99.60195829181156,514.1754703295094,35.687517499530315,177.98505616219802,Low
River,6.520926932423255,2.7657316677032995,3.3913999787511013,0.4837486041813316,41.609751762574135,None,83.64349928591784,99.65493773840969,415.33721490665494,21.378968884090806,596.6280829280104,Low
River,16.637757980368715,1.8863754013010452,6.0224155790990395,3.126059981861041,67.75652584278993,Filtered,85.90296960713054,93.68735531543044,513.7609747027793,26.387597879472374,569.4493711534376,Low
River,17.631950656260003,2.2633809148134674,5.760861669577354,1.9772918074243901,59.240066071716996,None,81.24348566211293,77.53625768674397,394.4144631574273,23.475263579736684,517.5408018775732,Low
River,16.105052644998352,0.536734124386796,2.0802958499171242,2.1486212894319627,54.64907305991833,Filtered,71.04180857749465,70.67884048102978,520.411008289981,31.394740045779717,659.5822234386411,Low
Treated Supply,23.937292834238054,0.6450530462312274,5.618903512195856,3.889906490683228,48.730199925980926,None,89.7529894396086,84.4526209267025,466.89466907134613,27.673656227335627,482.46332900234796,Low
River,19.676108666963835,0.9047484831699094,5.256112952612845,2.4893127490224924,67.7259290313171,Chlorinated,99.12380318976949,95.2518483079616,265.5542829902284,32.3403248219246,609.4084994009264,Low
River,9.583821553662387,1.8998891478222912,6.175545661150334,3.562704566044952,20.404236261117866,Filtered,80.7747919869682,82.70163298435423,444.7054873340461,32.912936857203775,239.21438107397097,Low
Open Well,8.642377062792175,2.566160930051158,6.5013669970768895,0.22513793809480154,67.71447476664663,Filtered,85.52661600135337,73.48948200352062,365.6504115187593,37.07473184418713,207.03922812886614,Low
River,23.971353790320503,1.1329861302608237,5.991890324781575,3.7114731271674337,70.88171995134678,None,80.4144338817146,94.49199184418488,219.45802942280886,25.256467557080324,171.6780120891827,Low
